Text,Emotion,Sentiment
The keyboard is full of creativity.,Joy,Positive
I moved to Delhi last year.,Neutral,Neutral
They are discussing the request in the engineering meeting.,Neutral,Neutral
That was so tired!,Disappointment,Negative
My twin means the world to me.,Love,Positive
I bought this tent last week and it came with a manual.,Neutral,Neutral
The apartment was so spotless!,Joy,Positive
That was so sad! #news,Sadness,Negative
I thought the support team was absolutely dismissive. #monday,Anger,Negative
I feel thankful because of the exam. #today,Gratitude,Positive
Forever grateful to my friends for all your help this year.,Gratitude,Positive
I feel pumped today.,Excitement,Positive
I bought this kettle last week and it exceeded my expectations.,Joy,Positive
So overjoyed about the wedding right now.,Joy,Positive
"I nearly vomited, the food tasted rotten.",Disgust,Negative
Feeling hopeful about the test results.,Hope,Positive
"Surprisingly, the novel was not useless at all!",Joy,Positive
"I can't sleep from anxiety, the wildfire is getting closer to our town.",Fear,Negative
"What a letdown, I got rejected from my dream job.",Disappointment,Negative
I felt exasperated today.,Anger,Negative
"Honestly, please confirm.",Neutral,Neutral
The documentary was late.,Neutral,Neutral
The teacher made me furious.,Anger,Negative
This whole thing is just bullying.,Disappointment,Negative
I bought this tent last week and it has a two year warranty.,Neutral,Neutral
Definitely impressive: the coffee. #news,Joy,Positive
"Stretching out on the sofa with a blanket, completely satisfied.",Contentment,Positive
"I can't believe it, my son graduated with honours! So pumped!",Excitement,Positive
This whole thing is just abhorrent.,Disappointment,Negative
The kettle I ordered stopped responding again.,Disappointment,Negative
Everything felt compassionate.,Joy,Positive
so let down today because the new phone doesn't work as advertised,Disappointment,Negative
"Honestly, the campsite was pretty dreadful.",Disappointment,Negative
the delivery van stops at the bank every morning,Neutral,Neutral
i picked up the parcel from the office this morning,Neutral,Neutral
"Staying positive about the surgery next week, it will work out.",Hope,Positive
It was raging.,Anger,Negative
Would definitely recommend the book.,Joy,Positive
I'm having lunch with an old classmate tomorrow.,Neutral,Neutral
The experience is full of charm. #daily,Joy,Positive
"Feeling blessed, the client loved our proposal!!",Gratitude,Positive
They are discussing the quote in the finance meeting.,Neutral,Neutral
What time does the clinic open on Monday?,Curiosity,Neutral
"Not annoying at all, I'm actually impressed.",Joy,Positive
The staff was so unremarkable!,Ambivalence,Neutral
The staff was pure magic.,Joy,Positive
can't express how proud i am that i stood up for myself,Pride,Positive
So grateful that I got promoted today.,Gratitude,Positive
I wouldn't call the phone fantastic. 😤,Disappointment,Negative
"I liked the curry, but the cake was dreadful.",Ambivalence,Neutral
Definitely underwhelming: the screen.,Disappointment,Negative
Definitely horrible: the beach.,Disappointment,Negative
our host was the highlight of my week,Joy,Positive
Is the cafe open today?,Curiosity,Neutral
I felt energizing today.,Excitement,Positive
"Reading in the garden, feeling completely at peace. 😍",Contentment,Positive
Simple pleasures: swinging on the porch at dusk. I'm perfectly content!!,Contentment,Positive
Definitely repetitive: the story. #update,Disappointment,Negative
The service here is fine.,Ambivalence,Neutral
"can't stop the tears, our family drifted apart",Sadness,Negative
The platform includes Android and Windows. #life,Neutral,Neutral
our family drifted apart and i just feel numb,Sadness,Negative
The delivery driver was slow and full of errors.,Disappointment,Negative
the router was neither intuitive nor pathetic,Ambivalence,Neutral
"Honestly, received.",Neutral,Neutral
"Overall, the documentary was annoying. 😤",Disappointment,Negative
"Feeling broken, my pet rabbit died. 😡",Sadness,Negative
"Calm and cozy today, walking along the beach at sunset.",Contentment,Positive
What is the difference between a virus and a bacterium?,Curiosity,Neutral
Everything felt wonderful.,Joy,Positive
My flight lands at seven in the evening tomorrow. #monday,Neutral,Neutral
Yay! We cleaned up the entire beach!,Joy,Positive
I have to renew my passport on Sunday.,Neutral,Neutral
I'm optimistic about our plans for next year.,Hope,Positive
I felt worthless today.,Disappointment,Negative
"So proud of everyone involved, we reached our fundraising goal.",Pride,Positive
Life is good. The neighbours threw us a surprise party.,Joy,Positive
I thought the receptionist was absolutely standard.,Ambivalence,Neutral
the game looked public,Neutral,Neutral
"Such a peaceful evening, sipping tea by the window. 🎉",Contentment,Positive
The ending was very good but the album was atrocious.,Ambivalence,Neutral
Forever grateful to my sister for everything you did for us.,Gratitude,Positive
Bittersweet day: I'm proud of graduating but sad to leave my friends.,Ambivalence,Neutral
the delivery driver was polite but the support team was annoying,Ambivalence,Neutral
The latest version adds Windows and dark mode.,Neutral,Neutral
The latest headset made things less reliable. 👎,Disappointment,Negative
We are updating the documentation and will publish it next week. #news,Neutral,Neutral
the receptionist was generous,Joy,Positive
This whole thing is just bright.,Joy,Positive
Definitely standard: the concert.,Ambivalence,Neutral
This kettle requires two batteries.,Neutral,Neutral
Can't believe how attentive the cashier turned out.,Joy,Positive
The app comes with cloud backup and dark mode.,Neutral,Neutral
I found the match to be fun.,Joy,Positive
The trip didn't live up to the hype. Not what I hoped for at all.,Disappointment,Negative
this interview was full of charm,Joy,Positive
The show was an absolute mess.,Disappointment,Negative
The laptop was terrific.,Joy,Positive
What a suffering day. 👎,Disappointment,Negative
The clinic is closed on Thursdays.,Neutral,Neutral
Sending a huge thank you to my sister for all your help this year.,Gratitude,Positive
Wondering if the bus route changes next week.,Curiosity,Neutral
Feeling hopeful about my recovery.,Hope,Positive
Quiet moment: swinging on the porch at dusk. Life is good.,Contentment,Positive
The service ruined everything.,Anger,Negative
The tour guide was a nightmare from start to finish.,Disappointment,Negative
my new mattress works perfectly,Joy,Positive
The campsite made my day more reliable.,Joy,Positive
Our host was painfully slow.,Disappointment,Negative
"Honestly, pretty agitated.",Disappointment,Negative
Praying that our plans for next year turns out fine.,Hope,Positive
I wonder whether the presentation is about twenty minutes long.,Curiosity,Neutral
Everything feels empty since my old teacher passed away. #news,Sadness,Negative
The software supports both iOS and two-factor login.,Neutral,Neutral
"That is disgusting, the chicken smelled off.",Disgust,Negative
Can't believe how frustrating the plot turned out.,Disappointment,Negative
"sick of this, the company denied my refund. total disrespect",Anger,Negative
"Doing a jigsaw puzzle by the lamp, completely satisfied. #life",Contentment,Positive
the ending was boring tbh,Disappointment,Negative
I miss having someone to talk to. Scrolling through my phone with no one to text.,Loneliness,Negative
Can't believe how really bad the interview turned out.,Disappointment,Negative
I'm honestly scared about the deadline.,Fear,Negative
"absolutely revolting, there was a hair in my soup",Disgust,Negative
"It crashes every few minutes, avoid at all costs.",Disappointment,Negative
The curry was glorified.,Joy,Positive
absolutely the worst class i can remember,Disappointment,Negative
"Overall, the manager was superb.",Joy,Positive
Wondering if the shop stocks both paper and digital editions.,Curiosity,Neutral
I bought this water bottle last week and it was shipped from the local warehouse. #news,Neutral,Neutral
The dinner was so very poor! 😢,Disappointment,Negative
"The training was underwhelming, though the trip was worthwhile.",Ambivalence,Neutral
I felt rancid today.,Disgust,Negative
"I'm frozen with dread, the smoke alarm is beeping and I smell smoke.",Fear,Negative
"Feeling discouraged, our team lost the final.",Disappointment,Negative
"Honestly, pretty faultless.",Joy,Positive
"Honestly, pretty evil.",Disappointment,Negative
Rubbish.,Disappointment,Negative
it was divine,Joy,Positive
I can't stop praising the hotel.,Joy,Positive
I feel uneasy today. #daily,Fear,Negative
This whole thing is just insipid. 😤,Disappointment,Negative
Best burger I've ever had! 👍,Joy,Positive
Thrilled about our holiday in Italy!,Excitement,Positive
Trying to figure out how the pyramids were built.,Curiosity,Neutral
Definitely frustrating: the match.,Disappointment,Negative
The latest laptop made things worse.,Disappointment,Negative
the film was bad tbh,Disappointment,Negative
The tool is compatible with the web and Windows.,Neutral,Neutral
"Got the coffee machine yesterday, it was delivered to the front desk.",Neutral,Neutral
I felt horrific today.,Disappointment,Negative
Thank you to my neighbours for your endless support!!,Gratitude,Positive
The parking near the pharmacy is free after six!!,Neutral,Neutral
"so mad right now, the company denied my refund",Anger,Negative
"It overheats constantly, very disappointed.",Disappointment,Negative
The latest airport made things easier.,Joy,Positive
I'm heading to Delhi on Monday.,Neutral,Neutral
Can someone confirm whether the schedule was updated this morning?,Curiosity,Neutral
the app is official and third,Neutral,Neutral
So cheerful about the surgery on Monday right now.,Joy,Positive
can't express how proud i am that my article got published,Pride,Positive
my new blender broke on the first use,Disappointment,Negative
I have a meeting at half past two. #life,Neutral,Neutral
"not pathetic, not quick. the customer care was just okay",Ambivalence,Neutral
"Honestly, never again.",Disappointment,Negative
the software was sharp,Joy,Positive
I can't believe how worthless the film was.,Disappointment,Negative
"Got the blender yesterday, it is exactly what I needed. 😊",Joy,Positive
The tour guide left a terrible impression.,Disappointment,Negative
the charger is official and national,Neutral,Neutral
"I worked so hard for this and it paid off, I made it to the finals.",Pride,Positive
I'll call my sister after lunch.,Neutral,Neutral
the manager will send the agenda on friday,Neutral,Neutral
Our workshop was excellent.,Joy,Positive
"According to the schedule, our flight boards at gate twelve.",Neutral,Neutral
"Honestly, thanks a lot, really appreciate it",Gratitude,Positive
The drone I ordered requires two batteries.,Neutral,Neutral
I found the camera to be superb.,Joy,Positive
Can someone confirm whether the shop stocks both paper and digital editions?,Curiosity,Neutral
The concert was amused.,Joy,Positive
Feeling devastated today. 😤,Sadness,Negative
It is a flat pasta.,Neutral,Neutral
I felt ruined today.,Disappointment,Negative
"Thank you all, the cake turned out perfect and I owe it to you.",Gratitude,Positive
That was so agitated!,Disappointment,Negative
I'm terrified because the car started skidding on the ice.,Fear,Negative
It was visionary.,Joy,Positive
Can't believe how intuitive the keyboard turned out. ❤️,Joy,Positive
"Honestly, the battery was pretty smooth.",Joy,Positive
This whole thing is just dread.,Fear,Negative
My colleague blew me away.,Joy,Positive
The training is full of bugs. 😤,Disappointment,Negative
I thought the ice cream was absolutely fabulous. 👍,Joy,Positive
The delivery driver was ideal. 😍,Joy,Positive
Superb quality,Joy,Positive
the film was so okay,Ambivalence,Neutral
I can't wait for the concert next Friday!,Excitement,Positive
Worst cake I've ever had!!,Disappointment,Negative
"I'm so scared, the car started skidding on the ice.",Fear,Negative
"Honestly, the cafe was pretty atrocious!!",Anger,Negative
This workshop made everything much nicer. #update,Joy,Positive
The water bottle I ordered exceeded my expectations.,Joy,Positive
Honestly I'm torn about the new job offer. #today,Ambivalence,Neutral
Ew. The towels were stained and smelled awful. I can't unsee it.,Disgust,Negative
It is a northern charger.,Neutral,Neutral
Super hyped because my code finally worked!,Excitement,Positive
The battery is full of energy.,Joy,Positive
My new drone is listed on the second page.,Neutral,Neutral
The survey takes about ten minutes.,Neutral,Neutral
How do I get to the library from the bike stop?,Curiosity,Neutral
The package includes Linux and Android.,Neutral,Neutral
So positive about the reunion right now.,Hope,Positive
I felt breathtaking today.,Joy,Positive
He teaches biology at the university. #thoughts,Neutral,Neutral
The movie was slow and full of bugs.,Disappointment,Negative
I'm heading to Osaka on Friday. #thoughts,Neutral,Neutral
The documentary was so dreadful! #mood,Disappointment,Negative
The restaurant made my blood boil.,Anger,Negative
Update: the speaker smells terrible.,Disappointment,Negative
"Overall, the manager was professional.",Joy,Positive
Everything felt visionary.,Joy,Positive
The teacher was the highlight of my week.,Joy,Positive
"Not amazing at all, what a shame. #monday",Disappointment,Negative
which day does the cafe close?,Curiosity,Neutral
"Everything works smoothly, absolutely love it. 😍",Joy,Positive
i left my umbrella at the museum,Neutral,Neutral
Feeling hopeful about the treatment.,Hope,Positive
This soundtrack made everything more enjoyable.,Joy,Positive
Can't believe how perfect the tour turned out.,Joy,Positive
Every day with my dad is a gift and I'm so in love.,Love,Positive
New season starts tonight and I've been waiting for months 🔥,Excitement,Positive
This soup made everything less reliable.,Disappointment,Negative
I expected the laptop to be buggy but it wasn't.,Joy,Positive
The jacket I ordered fell apart in a week.,Disappointment,Negative
This tent stopped charging within a week.,Disappointment,Negative
I'm exhausted about my presentation.,Sadness,Negative
Just thinking of my girlfriend makes me smile with love!!,Love,Positive
the phone i ordered is better than i imagined,Joy,Positive
I can't believe how dreadful the class was. 😤,Disappointment,Negative
The driver let everyone down.,Disappointment,Negative
Yay! We reached our fundraising goal! #monday,Joy,Positive
This whole thing is just weeping.,Sadness,Negative
"Can't stop the tears, I heard she is very ill.",Sadness,Negative
"So nervous, I have to speak in front of two hundred people.",Fear,Negative
My first day at the new job is going to be epic!,Excitement,Positive
Is it true that registration closes at the end of the month?,Curiosity,Neutral
I bought this hoodie last week and it fell apart in a week.,Disappointment,Negative
Something tells me the peace talks will be fine.,Hope,Positive
"Setup took two minutes, so impressed.",Joy,Positive
"got the jacket yesterday, it is available in two sizes",Neutral,Neutral
I'm heartbroken that my old teacher passed away.,Sadness,Negative
"All is calm, taking a quiet walk in the woods.",Contentment,Positive
My new water bottle looks and works great.,Joy,Positive
Sending a huge thank you to my friends for your patience. #weekend,Gratitude,Positive
Heads up: the report is due on Friday.,Neutral,Neutral
The restaurant was the highlight of my week.,Joy,Positive
Nothing compares to the love of a parent.,Love,Positive
"Just so you know, the tournament begins next Saturday.",Neutral,Neutral
I'm going to the pharmacy after work.,Neutral,Neutral
It was crushed.,Sadness,Negative
So let down today because our vacation was ruined by the weather. #mood,Disappointment,Negative
Update: the blender keeps disconnecting!!,Disappointment,Negative
The training was lovely and full of character.,Joy,Positive
"Not horrible, not fabulous. The cashier was just okay.",Ambivalence,Neutral
I thought the train station was absolutely beautiful.,Joy,Positive
"Perfectly relaxed, watching the snow fall through the window.",Contentment,Positive
I felt handsome today.,Joy,Positive
"Not dull at all, much better than expected. 😊",Joy,Positive
Spending the holidays without anyone. I feel so alone.,Loneliness,Negative
Everything felt angry. 😤,Anger,Negative
So over the moon about tomorrow's meeting right now.,Joy,Positive
"Wow, my parents surprised me with a visit! I'm buzzing!",Excitement,Positive
I'll call my manager after brunch.,Neutral,Neutral
What time does the pharmacy open on Sunday?,Curiosity,Neutral
The staff did a fantastic job. #thoughts,Joy,Positive
the manager was unacceptable tbh,Anger,Negative
the waiter was delightful tbh #life,Joy,Positive
I bought this kettle last week and it makes my life so much easier.,Joy,Positive
What a problematical day. 😢,Disappointment,Negative
I thought the staff was absolutely abysmal.,Disappointment,Negative
"Not annoying at all, much better than expected.",Joy,Positive
my flight lands at six o'clock tomorrow,Neutral,Neutral
The store opens at nine.,Neutral,Neutral
i feel glad today,Joy,Positive
"honestly, thanks for the update",Neutral,Neutral
"I'm so scared, the plane hit heavy turbulence. 😢",Fear,Negative
I'm heartbroken that the summer ended and everyone went home.,Sadness,Negative
This whole thing is just damaged. 😞,Disappointment,Negative
"honestly, absolutely furious",Anger,Negative
The class covers economics and renewable energy.,Neutral,Neutral
I can't believe how gorgeous the story was! #mood,Joy,Positive
"Honestly, pretty improving.",Joy,Positive
This documentary made everything smoother.,Joy,Positive
I can't believe how cozy the city centre was! #mood,Joy,Positive
"Can't stop the tears, the old cafe closed for good.",Sadness,Negative
The post office closes at six on weekdays. #mood,Neutral,Neutral
I'm furious that they cancelled the event with no notice!,Anger,Negative
Life is good. The surprise party was a total success. 🎉,Joy,Positive
I'm so disappointed that the trip didn't live up to the hype.,Disappointment,Negative
My soup was typical today.,Ambivalence,Neutral
Feeling really anxious because the flight is taking off soon and I hate flying.,Fear,Negative
The soup was delicious but the sushi was very poor.,Ambivalence,Neutral
"It hurts so much, my grandfather passed away. 😞",Sadness,Negative
This lecture was full of surprises.,Joy,Positive
My heart is so full when I'm with my brother. 😊,Love,Positive
The ending was so typical! #weekend,Ambivalence,Neutral
Please note that the survey takes about ten minutes.,Neutral,Neutral
I felt trusty today. #weekend,Joy,Positive
Our vacation was ruined by the weather. Not what I hoped for at all.,Disappointment,Negative
can someone tell me about the resort?,Curiosity,Neutral
the manager was mediocre tbh,Disappointment,Negative
I hate the flight.,Anger,Negative
Where can I find the soundtrack?,Curiosity,Neutral
Forever grateful to the whole team for everything you did for us!!,Gratitude,Positive
Update: the schedule was updated this morning!!,Neutral,Neutral
I felt encouraging today.,Joy,Positive
This router was full of charm.,Joy,Positive
Fingers crossed for the economy next year! #mood,Hope,Positive
The acting was discredited!!,Disappointment,Negative
I felt ruinous today.,Disappointment,Negative
"absolutely revolting, the kitchen was crawling with cockroaches",Disgust,Negative
Not lovely: the breakfast.,Disappointment,Negative
"so nervous, someone was following me on the street",Fear,Negative
The speaker I ordered works perfectly.,Joy,Positive
The training was unremarkable. #mood,Ambivalence,Neutral
The training was lovely and full of laughs.,Joy,Positive
can't believe how wonderful the curry turned out,Joy,Positive
"The campsite was not smelly, but not incredible either.",Ambivalence,Neutral
"Rainy afternoon, a pot of tea and a good book: quietly happy.",Contentment,Positive
"This makes me so angry, the bank charged me hidden fees! 😢",Anger,Negative
"The curry is not divine, sadly.",Disappointment,Negative
update: the office chair is available in two sizes,Neutral,Neutral
The sushi made my day more confusing.,Disappointment,Negative
I can't thank my coach enough for the thoughtful gift. 🎉,Gratitude,Positive
I watched a documentary about ancient Rome last night.,Neutral,Neutral
"nothing to do, nowhere to be, just writing in my journal by candlelight. so content",Contentment,Positive
The backpack I ordered exceeded my expectations.,Joy,Positive
The flight let me down.,Disappointment,Negative
The latest gym made things more confusing.,Disappointment,Negative
The delivery driver was slow and full of bugs.,Disappointment,Negative
Announcement: the form has to be submitted online.,Neutral,Neutral
The post office is on the second floor next to the kitchen.,Neutral,Neutral
My neighbourhood was terrific today.,Joy,Positive
I'm working from home this week. #thoughts,Neutral,Neutral
I might lose my house and I'm shaking with fear.,Fear,Negative
Can't believe how salty the burger turned out.,Disappointment,Negative
"not noisy at all, much better than expected",Joy,Positive
Definitely lovely: the show.,Joy,Positive
How dare they? The cashier was incredibly rude to my mother!,Anger,Negative
The concert made my blood boil.,Anger,Negative
Our city centre was beautiful.,Joy,Positive
My new kettle arrived on Tuesday. #thoughts,Neutral,Neutral
Proud of myself because I ran the whole marathon.,Pride,Positive
This tour made everything easier.,Joy,Positive
"Can't sleep, too excited about the big match tonight.",Excitement,Positive
What happens inside the brain while we sleep?!!,Curiosity,Neutral
i asked my neighbour about the schedule,Neutral,Neutral
Feeling hyped today.,Excitement,Positive
your shipment will be processed on wednesday,Neutral,Neutral
This flight made everything smoother.,Joy,Positive
Sending a huge thank you to everyone who supported me for showing up for me.,Gratitude,Positive
I found the airport to be useless. #daily,Disappointment,Negative
the keyboard was unreliable tbh,Disappointment,Negative
The concert did a fantastic job.,Joy,Positive
Sending a huge thank you to my teachers for your endless support!!,Gratitude,Positive
What a dread day.,Fear,Negative
Definitely unremarkable: the tablet.,Ambivalence,Neutral
"The manager was disappointing, though the customer care was fabulous. #mood",Ambivalence,Neutral
i felt heroic today,Joy,Positive
falling in love with my boyfriend all over again,Love,Positive
update: the mattress is available in two sizes,Neutral,Neutral
What a creditable day. 🎉,Joy,Positive
"Calm and cozy today, baking bread on a slow afternoon. #life",Contentment,Positive
my pasta was worthless today,Disappointment,Negative
"Honestly, the interface was pretty seamless.",Joy,Positive
"The tour was lousy, though the experience was worthwhile. #monday",Ambivalence,Neutral
Everything felt terrified.,Fear,Negative
Would definitely recommend the airport.,Joy,Positive
Back in five minutes today!!,Neutral,Neutral
Please note that the museum offers guided tours in the morning.,Neutral,Neutral
the parking near the pharmacy is free after six,Neutral,Neutral
What a dangerous day.,Fear,Negative
"Yuck, there was a hair in my soup.",Disgust,Negative
the battery was mediocre tbh 😡,Disappointment,Negative
"So proud of everyone involved, I got promoted today.",Pride,Positive
This is so sad 😤,Sadness,Negative
I thought the hotel was absolutely mediocre.,Disappointment,Negative
"Just so you know, the store opens at nine.",Neutral,Neutral
The sandwich was not worth it.,Disappointment,Negative
This weekend was full of laughs.,Joy,Positive
The flight is taking off soon and I hate flying and I'm shaking with fear. #today,Fear,Negative
I wonder whether the manual is available in three languages.,Curiosity,Neutral
I can't believe how lovely the concert was!,Joy,Positive
My salad was unacceptable today. #daily,Anger,Negative
"so much joy today, the client loved our proposal",Joy,Positive
The class covers biology and coffee farming.,Neutral,Neutral
So intrigued about the new job right now.,Curiosity,Neutral
Our charger was fine.,Ambivalence,Neutral
The vacuum cleaner I ordered is made of stainless steel.,Neutral,Neutral
"Honestly, pretty wise.",Joy,Positive
I can't believe how fantastic the tablet was!,Joy,Positive
The staff left a terrible impression.,Disappointment,Negative
My boyfriend means the world to me.,Love,Positive
i have mixed feelings about the new job offer,Ambivalence,Neutral
I feel isolated today.,Loneliness,Negative
My puppy looks at me like I'm her whole world and I'm completely smitten.,Love,Positive
The lecture here is tiresome. 👎,Disappointment,Negative
She gave a talk about medieval castles on Monday.,Neutral,Neutral
Update: the vacuum cleaner has been flawless so far.,Joy,Positive
The manager wasted my whole afternoon.,Anger,Negative
The hotel was really alright.,Ambivalence,Neutral
"i worked so hard for this and it paid off, i gave the speech without stumbling",Pride,Positive
I found the headset to be horrible.,Disappointment,Negative
our course was worthwhile,Joy,Positive
I found the resort to be wonderful.,Joy,Positive
"part of me is excited about the new job offer, but part of me is dreading it",Ambivalence,Neutral
It was mourning!!,Sadness,Negative
Please check the curry before Friday.,Neutral,Neutral
I can't believe how fabulous the technician was! #weekend,Joy,Positive
Slow living at its best: drinking hot chocolate under a blanket.,Contentment,Positive
My heart is so full when I'm with my boyfriend.,Love,Positive
The delivery van stops at the clinic every morning.,Neutral,Neutral
"I feel sick, the bathroom was filthy.",Disgust,Negative
"honestly, pretty dignifying",Joy,Positive
Simple pleasures: tending to my plants in the sunshine. I'm perfectly content.,Contentment,Positive
"It's hard not having anyone around, eating dinner alone again.",Loneliness,Negative
The workshop made my day more confusing.,Disappointment,Negative
What an energizing day.,Excitement,Positive
the cashier was slow and full of glitches,Disappointment,Negative
So grateful that the whole family got together for dinner. 😍,Gratitude,Positive
This breakfast made everything faster. 🎉,Joy,Positive
Announcement: the shop stocks both paper and digital editions.,Neutral,Neutral
My heart is so full when I'm with my grandmother.,Love,Positive
"Delivery took three weeks, completely useless. #weekend",Disappointment,Negative
Update: the headset stopped responding again.,Disappointment,Negative
"Ugh, the cake collapsed in the oven. What a waste.",Disappointment,Negative
My new speaker is available in two sizes.,Neutral,Neutral
"Nothing to do, nowhere to be, just walking along the beach at sunset. So content.",Contentment,Positive
"can't sleep, too excited about the concert next friday",Excitement,Positive
The restaurant was a pleasure.,Joy,Positive
that was so cute,Joy,Positive
"Honestly, where is this?",Curiosity,Neutral
"Honestly, pretty worthless.",Disappointment,Negative
The cake was not really bad at all.,Joy,Positive
The tent I ordered smells terrible.,Disappointment,Negative
I wonder what the city looked like a hundred years ago.,Curiosity,Neutral
"Honestly, pretty fumed.",Anger,Negative
Everything felt criminal.,Disappointment,Negative
"Honestly, pretty trustful.",Joy,Positive
i have mixed feelings about the merger,Ambivalence,Neutral
I felt villainous today. 😞,Disappointment,Negative
The jacket I ordered has a two year warranty.,Neutral,Neutral
I'm optimistic about the future for the first time in a long while.,Hope,Positive
"What a proud moment, I made it to the finals.",Pride,Positive
Gross! The food tasted rotten.,Disgust,Negative
The parking lot is behind the building. #monday,Neutral,Neutral
This delivery driver made everything more enjoyable.,Joy,Positive
Feeling unsure today.,Ambivalence,Neutral
This whole thing is just haunted.,Fear,Negative
I'm truly thankful because the neighbours threw us a surprise party.,Gratitude,Positive
My brother works in logistics.,Neutral,Neutral
the game looked red,Neutral,Neutral
Can't believe how useless the course turned out. 👎,Disappointment,Negative
i bought this speaker last week and it is listed on the second page,Neutral,Neutral
I'm so proud that I stood up for myself! #news,Pride,Positive
Our host wasted my whole afternoon.,Anger,Negative
Our dinner was impressive.,Joy,Positive
This whole thing is just vindicated.,Joy,Positive
Our host left everyone impressed.,Joy,Positive
Laughing with old friends is the best medicine.,Joy,Positive
Our flight was top notch.,Joy,Positive
I can't thank everyone who supported me enough for all your help this year.,Gratitude,Positive
The phone made my day more confusing. 😞,Disappointment,Negative
"I worked so hard for this and it paid off, we opened our own bakery. #update",Pride,Positive
That was so scornful!,Disappointment,Negative
"My heart is racing with excitement, I ran my first ten kilometres.",Excitement,Positive
The teacher was beyond frustrating.,Anger,Negative
The tickets are available online and at the museum.,Neutral,Neutral
Quiet moment: tending to my plants in the sunshine. Life is good.,Contentment,Positive
Our film was ordinary.,Ambivalence,Neutral
It was troublesome.,Disappointment,Negative
This whole thing is just playful. #news,Joy,Positive
I appreciate every single person who stood by me this year.,Gratitude,Positive
this coffee machine came with a manual,Neutral,Neutral
It was insecure. #thoughts,Fear,Negative
Nobody makes my heart flutter like my aunt.,Love,Positive
Announcement: the road will be closed for maintenance.,Neutral,Neutral
I felt livid today.,Anger,Negative
Just thinking of my grandparents makes me smile with love.,Love,Positive
The museum is closed on Sundays. #mood,Neutral,Neutral
"I liked the course, but the lecture was underwhelming.",Ambivalence,Neutral
Our phone was fine.,Ambivalence,Neutral
Our app was smooth.,Joy,Positive
I can't believe how charming the hotel room was!!!,Joy,Positive
I used the flight this morning.,Neutral,Neutral
Best purchase I've ever had! 😊,Joy,Positive
"I can't believe it, I stood up for myself! So pumped!",Excitement,Positive
The update was grey.,Neutral,Neutral
The acting is full of laughs.,Joy,Positive
Standing tall today because I stood up for myself.,Pride,Positive
That was so despairing!,Sadness,Negative
I expected the ice cream to be dreadful but it wasn't.,Joy,Positive
"Anxiety is through the roof, the stock market crashed and I'm invested.",Fear,Negative
It was shameful.,Disappointment,Negative
Can't believe how poor the lecture turned out.,Disappointment,Negative
The steak was so underwhelming!,Disappointment,Negative
"I feel sick, the sandwich was covered in green mould.",Disgust,Negative
"Got the phone yesterday, it fell apart in a week!!",Disappointment,Negative
I wouldn't call the update intuitive.,Disappointment,Negative
My acting was very good today.,Joy,Positive
The coffee was really bland. 😡,Disappointment,Negative
Update: the toaster is worth every penny.,Joy,Positive
I thought the tour was absolutely standard.,Ambivalence,Neutral
"Honestly, pretty agonized!!",Disappointment,Negative
Can't stop smiling because my sister passed her exams.,Joy,Positive
"i believe in the treatment, better days are ahead",Hope,Positive
That was so genial!,Joy,Positive
Feeling livid about the deadline.,Anger,Negative
Honestly I'm torn about moving abroad.,Ambivalence,Neutral
I hate the commute.,Anger,Negative
The phone was slow and full of errors.,Disappointment,Negative
"Not pathetic, not gorgeous. The acting was just okay.",Ambivalence,Neutral
I thought the service was absolutely quick.,Joy,Positive
our host was beyond frustrating,Anger,Negative
"Feeling broken, my cat went missing.",Sadness,Negative
"Part of me wants to go, part of me wants to stay home.",Ambivalence,Neutral
Please confirm.,Neutral,Neutral
i cherish my kids so much,Love,Positive
Definitely poor: the sushi. 😢,Disappointment,Negative
"The cake was not horrible, but not impressive either. #thoughts",Ambivalence,Neutral
This dinner made everything more frustrating. #today,Disappointment,Negative
Everything felt cherished. 😍,Love,Positive
The new schedule is posted on the notice board. #monday,Neutral,Neutral
"Honestly, pretty burdensome.",Disappointment,Negative
Simple pleasures: writing in my journal by candlelight. I'm perfectly content.,Contentment,Positive
"Honestly, the course was pretty fabulous.",Joy,Positive
"surprisingly, the ice cream was not underwhelming at all",Joy,Positive
is it true that the deadline has been extended to next week?,Curiosity,Neutral
I'm frustrated about my birthday. 😡,Disappointment,Negative
please remember to bring your passport to the appointment,Neutral,Neutral
I'm honestly discouraged about the test. #mood,Disappointment,Negative
"Surprisingly, the lecture was not frustrating at all!",Joy,Positive
this water bottle is made of stainless steel,Neutral,Neutral
It was respectable!!,Joy,Positive
I'm blessed about the audition!!,Gratitude,Positive
The workshop looked narrow.,Neutral,Neutral
The delivery should arrive early next month.,Neutral,Neutral
Update: the jacket was delivered to the front desk.,Neutral,Neutral
Can't believe how amazing the coffee turned out.,Joy,Positive
Wonderful news today,Joy,Positive
Feeling nervous about the wedding.,Fear,Negative
What an useless day.,Disappointment,Negative
"Not impressive at all, very underwhelming.",Disappointment,Negative
The film was fantastic. #mood,Joy,Positive
"According to the schedule, the deadline has been extended to next week.",Neutral,Neutral
"Overall, the phone was okay.",Ambivalence,Neutral
"the design is ugly, avoid at all costs",Disappointment,Negative
The sushi was starved.,Disappointment,Negative
"Overall, the album was confusing.",Disappointment,Negative
"The best service ever, hands down.",Joy,Positive
the flight is daily and heavy,Neutral,Neutral
"Anxiety is through the roof, my heart was pounding after that scary noise.",Fear,Negative
